id,lang,pecha name,url
IDD60A07D,en,Dampa Rinpoche Ngawang Lodrö Nyingpo,https://github.com/OpenPecha-Data/IDD60A07D
I4966B8BE,bo,Dampa Rinpoche Ngawang Lodrö Nyingpo,https://github.com/OpenPecha-Data/I4966B8BE
IAF8BEBB2,en,Dezhung Rinpoche Series,https://github.com/OpenPecha-Data/IAF8BEBB2
IA1A0A007,bo,Dezhung Rinpoche Series,https://github.com/OpenPecha-Data/IA1A0A007
I0ECEED34,en,Dilgo Khyentse Rinpoche Series,https://github.com/OpenPecha-Data/I0ECEED34
I3FB49B0F,de,Dilgo Khyentse Rinpoche Series,https://github.com/OpenPecha-Data/I3FB49B0F
IB24D8BEF,es,Dilgo Khyentse Rinpoche Series,https://github.com/OpenPecha-Data/IB24D8BEF
I440468C3,fr,Dilgo Khyentse Rinpoche Series,https://github.com/OpenPecha-Data/I440468C3
I7DD1DA1D,it,Dilgo Khyentse Rinpoche Series,https://github.com/OpenPecha-Data/I7DD1DA1D
I5BA3C17B,nl,Dilgo Khyentse Rinpoche Series,https://github.com/OpenPecha-Data/I5BA3C17B
IF73CCFDD,pt,Dilgo Khyentse Rinpoche Series,https://github.com/OpenPecha-Data/IF73CCFDD
IF8841CCF,zh,Dilgo Khyentse Rinpoche Series,https://github.com/OpenPecha-Data/IF8841CCF
IFE6FE4FF,bo,Dilgo Khyentse Rinpoche Series,https://github.com/OpenPecha-Data/IFE6FE4FF
I16A9EA0C,en,Do Khyentse Yeshe Dorje Series,https://github.com/OpenPecha-Data/I16A9EA0C
I7064286B,de,Do Khyentse Yeshe Dorje Series,https://github.com/OpenPecha-Data/I7064286B
I3F3814CD,es,Do Khyentse Yeshe Dorje Series,https://github.com/OpenPecha-Data/I3F3814CD
IC62F555B,fr,Do Khyentse Yeshe Dorje Series,https://github.com/OpenPecha-Data/IC62F555B
I71646354,it,Do Khyentse Yeshe Dorje Series,https://github.com/OpenPecha-Data/I71646354
I0A6B09E9,nl,Do Khyentse Yeshe Dorje Series,https://github.com/OpenPecha-Data/I0A6B09E9
IEC93559C,zh,Do Khyentse Yeshe Dorje Series,https://github.com/OpenPecha-Data/IEC93559C
I0C150115,bo,Do Khyentse Yeshe Dorje Series,https://github.com/OpenPecha-Data/I0C150115
I050C6C73,en,Dodrupchen Jigme Tenpe Nyima Series,https://github.com/OpenPecha-Data/I050C6C73
IDFE147D3,de,Dodrupchen Jigme Tenpe Nyima Series,https://github.com/OpenPecha-Data/IDFE147D3
I4B2E1A62,es,Dodrupchen Jigme Tenpe Nyima Series,https://github.com/OpenPecha-Data/I4B2E1A62
I9E70000D,fr,Dodrupchen Jigme Tenpe Nyima Series,https://github.com/OpenPecha-Data/I9E70000D
IFDA749BF,it,Dodrupchen Jigme Tenpe Nyima Series,https://github.com/OpenPecha-Data/IFDA749BF
IC6DA4336,pt,Dodrupchen Jigme Tenpe Nyima Series,https://github.com/OpenPecha-Data/IC6DA4336
IA919FF55,zh,Dodrupchen Jigme Tenpe Nyima Series,https://github.com/OpenPecha-Data/IA919FF55
IAF313EDC,bo,Dodrupchen Jigme Tenpe Nyima Series,https://github.com/OpenPecha-Data/IAF313EDC
IEBCE4968,en,Dodrupchen Jigme Trinle Özer Series,https://github.com/OpenPecha-Data/IEBCE4968
I4CB89D99,de,Dodrupchen Jigme Trinle Özer Series,https://github.com/OpenPecha-Data/I4CB89D99
I03E1C4AB,es,Dodrupchen Jigme Trinle Özer Series,https://github.com/OpenPecha-Data/I03E1C4AB
I67472682,fr,Dodrupchen Jigme Trinle Özer Series,https://github.com/OpenPecha-Data/I67472682
I92C1A45A,zh,Dodrupchen Jigme Trinle Özer Series,https://github.com/OpenPecha-Data/I92C1A45A
I76B5AE5A,bo,Dodrupchen Jigme Trinle Özer Series,https://github.com/OpenPecha-Data/I76B5AE5A
IBF9DD135,en,Dola Jigme Kalzang Series,https://github.com/OpenPecha-Data/IBF9DD135
I4A435836,bo,Dola Jigme Kalzang Series,https://github.com/OpenPecha-Data/I4A435836
I10EE648D,en,Dolpopa Sherab Gyaltsen,https://github.com/OpenPecha-Data/I10EE648D
I19636597,bo,Dolpopa Sherab Gyaltsen,https://github.com/OpenPecha-Data/I19636597
I646369DA,en,Dongak Chökyi Gyatso,https://github.com/OpenPecha-Data/I646369DA
I5BBBC156,zh,Dongak Chökyi Gyatso,https://github.com/OpenPecha-Data/I5BBBC156
I91B91D05,bo,Dongak Chökyi Gyatso,https://github.com/OpenPecha-Data/I91B91D05
IEE9AE36E,en,Dorje Dechen Lingpa Series,https://github.com/OpenPecha-Data/IEE9AE36E
I9B64A148,bo,Dorje Dechen Lingpa Series,https://github.com/OpenPecha-Data/I9B64A148
I0E430CA0,en,Drakkar Lobzang Palden,https://github.com/OpenPecha-Data/I0E430CA0
I376F7A20,bo,Drakkar Lobzang Palden,https://github.com/OpenPecha-Data/I376F7A20
ID8DEBEDD,en,Drikung Kyobpa Jikten Sumgön,https://github.com/OpenPecha-Data/ID8DEBEDD
I7B6B8B3B,de,Drikung Kyobpa Jikten Sumgön,https://github.com/OpenPecha-Data/I7B6B8B3B
I8BBB805A,bo,Drikung Kyobpa Jikten Sumgön,https://github.com/OpenPecha-Data/I8BBB805A
I3BD180EF,en,Drikung Tertön Ösel Dorje,https://github.com/OpenPecha-Data/I3BD180EF
IF0D8C5DB,bo,Drikung Tertön Ösel Dorje,https://github.com/OpenPecha-Data/IF0D8C5DB
I2BCFB170,en,Drimé Ösal Lingpa Series,https://github.com/OpenPecha-Data/I2BCFB170
IFF5540FA,de,Drimé Ösal Lingpa Series,https://github.com/OpenPecha-Data/IFF5540FA
I334636AA,es,Drimé Ösal Lingpa Series,https://github.com/OpenPecha-Data/I334636AA
I41DB3BBB,fr,Drimé Ösal Lingpa Series,https://github.com/OpenPecha-Data/I41DB3BBB
I178E77F5,bo,Drimé Ösal Lingpa Series,https://github.com/OpenPecha-Data/I178E77F5
