pecha_id,title,bdrc_work_id
I5D4E3BB6,བཀའ་བརྒྱུད་བསྟན་སྲུང་རྒྱ་མཚོའི་འཕྲིན་ལས་ཀྱི་ཆོ་ག་དོན་གཉིས་ལྷུན་གྲུབ།,W1KG12969
I6D5CBE04,འཕགས་ཡུལ་རྒྱན་དྲུག་མཆོག་གཉིས་ཀྱི་ཞལ་ལུང་།,W3CN3408
IB69406E4,གྲུབ་ཆེན་ཐང་སྟོང་རྒྱལ་པོ་དང་འབྲེལ་བའི་བླ་མའི་རྣལ་འབྱོར།,W3CN7561
IB1B3F530,གཏེར་ཆེན་རྡོ་རྗེ་གླིང་པའི་ཟབ་ཆོས་ཕྱོགས་བསྡེབས།,W1KG2118
I4CE91DF1,དུས་འབྲེལ་གསོ་སྦྱོང་ཚོགས་པའི་ཉི་མ།,W8LS18072
IF34A33EF,རྒྱལ་བའི་མཚན་འབུམ་ཀེ་ཏ་ཀའི་ཕྲེང་བ།,W3CN7662
I22D4EB26,ཀློང་སྙིང་ཇོ་ལུགས་སྒྲོལ་དཀར་གྱི་སྐོར་ཆོག་བསྒྲིགས།,W4CZ294450
IF1FC747B,རིག་འདུས་གསང་སྒྲུབ་རྡོ་རྗེའི་རྒྱ་ཅན་ལས་ལས་བྱང་།,W3CN4055
IA1606641,རྡོ་རྗེ་སེམས་དཔའ་ལ་བརྟེན་པའི་བླ་མ་མཆོད་པའི་ཆོ་ག་གཞན་ཕན་གྱི་ཕྲིན་ལས་དང་བཅས་པ་བདེ་ཆེན་ལམ་བཟང་།,W1KG4459
I269C8A24,གསང་འདུས་རྒྱ་ཆེར་བཤད་པ་སྒྲོན་མ་གསལ་བའི་ཚིག་དོན་ཇི་བཞིན་འབྱེད་པའི་མཆན་གྱི་ཡང་འགྲེལ།,W4CZ57645
I68702840,བདེ་ཆོག་ནག་པོའི་སྒྲུབ་དཀྱིལ།,W1KG17586
I9859EAAC,གུ་རུ་དྲག་དམར་གྱི་འཕྲིན་གཞུང་དྲེགས་པ་ཟིལ་གནོན་དང་། དབང་ཆོག་མཐོང་བ་རང་གྲོལ། དབྱངས་ཡིག་ཚངས་དབྱངས་སེམས་ཉིད་རོལ་མཚོ་བཅས།,W1KG17587
IFEB866B5,ཀུན་རིག་གི་ཆོ་ག་གཞན་ཕན་མཐའ་ཡས་ཀྱི་རྣམ་བཤད།,W1KG17595
IA266277B,ཞེ་ཆེན་གཞི་རིམ་སློབ་གྲྭའི་ཆོས་སྤྱོད་ཀྱི་རིམ་པ་ཐར་ལམ་རབ་གསལ།,W1KG13839
ID7261989,ཟབ་ཆོས་ཞི་ཁྲོ་དགོངས་པ་རང་གྲོལ།,W2PD19983
IA32B04BF,བཀའ་བརྒྱུད་པའི་རྒྱུན་འདོན་ཕྱོགས་བསྒྲིགས།,W3CN4038
I72895F77,ལོ་མ་གྱོན་མར་བརྟེན་པའི་རིལ་སྒྲུབ་ཀྱི་ངག་འདོན།,W8LS18094
I42F87DAD,ཐུབ་དབང་འཁོར་བཅས་མཆོད་པའི་ཆོ་ག་བཀླག་ཆོག་ཏུ་འགྲིགས་པ།,W4CZ294443
IE1026F9A,འོད་ཟེར་ཅན་མའི་དགྲ་སྒྲུབ།,W8LS18110
I767C6994,བླ་མ་དམ་པ་བསོད་ནམས་རྒྱལ་མཚན་གྱི་བཀའ་འབུམ་ལས་པོད་ད་པ།,W23630
IC429E296,གསེར་འོད་ས་བཅུ་མ།,W3CN7493
IF84F703D,འཇིགས་མེད་རྒྱལ་བའི་མྱུ་གུའི་རྣམ་ཐར།,W27884
I762B2492,སྔ་འགྱུར་རྙིང་མའི་གླེགས་བམ་རིན་པོ་ཆེ།,W3CN3026
I7D7D43A2,བཀའ་བརྒྱུད་སྔགས་མཛོད་ནག་འགྲོས།,W3CN3118
I454A53F9,གསུང་འབུམ། བསྟན་པའི་དབང་ཕྱུག,W4PD759
I217A3734,སྐོང་གསོ་དངོས་གྲུབ་རོལ་མཚོ།,W1KG13837
I26FAAF9F,དཔལ་ཀྱཻ་རྡོ་རྗེའི་དབང་གི་ཆུ་བོ་ཆེན་མོ་མཛེས་པར་བྱེད་པའི་རྒྱན་ནག་འགྲོས་བཀླག་ཆོག་ཏུ་བཀོད་པ་སྭ་ར་སྭ་སྟིའི་ཀླུང་ཆེན་བདུད་རྩིའི་རྒྱུན་འབབ།,W1KG17575
IC95FBAFE,སྐྱབས་རྗེ ༧་ཀརྨ་སྟོབས་རྒྱལ་རིན་པོ་ཆེའི་བཀའ་འབུམ།,W2PD19458
I697404B0,ཀློང་ཆེན་སྙིང་ཐིག་གི་ནང་སྒྲུབ་རིག་འཛིན་འདུས་པའི་ཟིན་བྲིས་རིག་འཛིན་ཞལ་ལུང་བདེ་ཆེན་དཔལ་སྟེར།,W23783
I493E60E6,གསུང་འབུམ། བསོད་ནམས་ལྷུན་གྲུབ།,W4PD2079
I7BC7D65C,མཛེས་རྩལ་དཔེ་རིས་སྦྲང་མའི་ཤོག་རླབས།,W3CN5303
I9F439294,རྡོ་རྗེ་རྣལ་འབྱོར་མའི་དཀྱིལ་འཁོར་སྒྲུབ་མཆོད་འགྲོ་ཀུན་མཁའ་སྤྱོད་བགྲོད་པའི་མྱུར་ལམ།,W1KG17576
IFF2CA5F7,,W1K2118
IADC6FAD6,འདུལ་བ་མདོའི་དགོངས་པ་གསལ་བར་བྱེད་པ།,W1KG3397
I84EEFABA,བསྐང་བ་རྩ་གསུམ་དགྱེས་པའི་མཆོད་སྤྲིན།,W3CN4050
ID45D5402,གྲུབ་མཐའ་རྩ་བའི་ཚིག་ཊིཀ,W8LS17297
I30E4994A,བླ་མ་ཡང་ཏིག་ཡིད་བཞིན་ནོར་བུ།,W3CN50
